alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
-14.000,-0.3531,0.15242,0.12931,-0.0263,1.0000,0.0169,1.0000,145.4680
-13.000,-0.3534,0.13714,0.11571,-0.0307,1.0000,0.0187,1.0000,146.2421
-12.000,-0.3550,0.12005,0.10067,-0.0359,1.0000,0.0199,1.0000,146.7297
-10.000,-0.6721,0.01988,0.01192,-0.0908,0.9820,0.0241,3.8573,148.2713
-9.000,-0.5605,0.01801,0.00985,-0.0923,0.9658,0.0263,5.7896,148.9784
-8.000,-0.4638,0.01525,0.00766,-0.0904,0.9400,0.0284,8.5429,149.5698
-7.000,-0.3630,0.01303,0.00547,-0.0885,0.9106,0.0304,11.5504,150.1180
-6.000,-0.2588,0.01126,0.00396,-0.0872,0.8797,0.0323,14.6842,150.6030
-5.000,-0.1520,0.01000,0.00273,-0.0860,0.8461,0.0341,18.0778,151.0416
-4.000,-0.0449,0.00888,0.00179,-0.0850,0.8078,0.0371,21.9476,151.7414
-3.000,0.0646,0.00819,0.00116,-0.0843,0.7697,0.0416,25.7917,152.6865
-2.000,0.1744,0.00765,0.00078,-0.0836,0.7300,0.0762,29.7923,157.9701
-1.000,0.2833,0.00699,0.00060,-0.0831,0.6935,0.2303,33.4617,173.9635
0.000,0.3910,0.00635,0.00056,-0.0825,0.6537,0.4701,37.4750,197.2321
1.000,0.4863,0.00539,0.00074,-0.0785,0.6089,0.9316,42.0102,241.8714
2.000,0.6463,0.00586,0.00087,-0.0889,0.5471,1.0000,48.2707,250.0000
3.000,0.7423,0.00647,0.00095,-0.0857,0.4735,1.0000,55.7287,250.0000
4.000,0.8324,0.00758,0.00123,-0.0816,0.3625,1.0000,67.0594,250.0000
5.000,0.9311,0.00838,0.00150,-0.0792,0.3185,1.0000,71.5206,250.0000
6.000,1.0330,0.00908,0.00177,-0.0775,0.2917,1.0000,74.2340,250.0000
7.000,1.1337,0.00989,0.00202,-0.0758,0.2538,1.0000,78.1576,250.0000
8.000,1.2225,0.01154,0.00260,-0.0724,0.1648,1.0000,87.9316,250.0000
9.000,1.3007,0.01380,0.00365,-0.0676,0.0912,1.0000,96.6054,250.0000
10.000,1.3695,0.01617,0.00469,-0.0613,0.0421,1.0000,104.0344,250.0000
11.000,1.4112,0.01990,0.00675,-0.0515,0.0134,1.0000,113.0062,250.0000
12.000,1.4588,0.02355,0.00885,-0.0444,0.0112,1.0000,114.2164,250.0000
13.000,1.4908,0.02885,0.01218,-0.0377,0.0098,1.0000,115.0594,250.0000
14.000,1.5170,0.03545,0.01661,-0.0330,0.0088,1.0000,115.7335,250.0000
15.000,1.5160,0.04579,0.02414,-0.0299,0.0081,1.0000,116.1936,250.0000
16.000,1.5057,0.05892,0.03431,-0.0300,0.0076,1.0000,116.5801,250.0000
17.000,1.4737,0.07670,0.04906,-0.0335,0.0073,1.0000,116.8227,250.0000
