,tmpf,dwpf,relh,drct,sknt,alti,vsby,skyl1,feel,skyc1_BKN,skyc1_FEW,skyc1_NSC,skyc1_OVC,skyc1_SCT,skyc1_VV ,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,dayofweek_flag_Fri,dayofweek_flag_Mon,dayofweek_flag_Sat,dayofweek_flag_Sun,dayofweek_flag_Thurs,dayofweek_flag_Tues,dayofweek_flag_Wed,season_flag_autumn,season_flag_spring,season_flag_summer,season_flag_winter,fr_code_IFR,fr_code_LIFR,fr_code_MVFR,fr_code_VFR
39970,60.8,59.0,93.79,0.0,2.0,30.03,1.86,300.0,60.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
29859,50.0,48.2,93.5,150.0,2.0,30.09,4.35,3000.0,50.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
8467,68.0,64.4,88.26,80.0,1.0,29.91,6.21,2000.0,68.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
31279,91.4,35.6,14.02,340.0,3.0,30.0,6.21,3000.0,87.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
39888,68.0,64.4,88.26,80.0,5.0,29.88,2.49,4000.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
31747,73.4,62.6,68.94,190.0,3.0,30.06,6.21,3000.0,73.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
26054,86.0,62.6,45.61,140.0,3.0,29.97,6.21,4000.0,86.72,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
26612,71.6,62.6,73.27,160.0,11.0,29.88,6.21,3500.0,71.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24154,71.6,62.6,73.27,40.0,5.0,30.12,4.97,1500.0,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
14584,48.2,46.4,93.45,0.0,0.0,30.27,4.35,1300.0,48.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
31457,64.4,57.2,77.45,120.0,5.0,30.21,6.21,3000.0,64.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
8205,62.6,57.2,82.5,130.0,9.0,30.09,6.21,1700.0,62.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
37300,55.4,51.8,87.65,150.0,5.0,30.21,6.21,3000.0,55.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11475,62.6,60.8,93.83,210.0,4.0,30.12,3.73,2000.0,62.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
21270,59.0,57.2,93.74,0.0,0.0,30.21,4.35,2000.0,59.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
31047,64.4,50.0,59.5,50.0,2.0,30.27,6.21,3000.0,64.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
37318,75.2,39.2,27.26,220.0,3.0,30.12,6.21,3000.0,75.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7229,66.2,53.6,63.82,90.0,9.0,30.21,6.21,2500.0,66.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
34241,66.2,60.8,82.74,170.0,3.0,30.0,6.21,2000.0,66.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
40606,78.8,60.8,54.05,130.0,11.0,29.83,6.21,4500.0,78.8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
39020,64.4,62.6,93.88,80.0,2.0,29.97,4.97,1500.0,64.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
