,tmpf,relh,sknt,alti,vsby,skyl1
39971,62.6,88.0,0.0,30.03,2.49,500.0
29860,55.4,81.99,0.0,30.12,4.97,3000.0
8468,69.8,88.34,2.0,29.91,6.21,3000.0
31280,89.6,15.92,6.0,29.97,6.21,3000.0
39889,68.0,88.26,6.0,29.88,4.97,3000.0
31748,71.6,73.27,2.0,30.03,6.21,4000.0
26055,87.8,43.07,3.0,29.94,6.21,4500.0
26613,69.8,73.09,8.0,29.91,6.21,3500.0
24155,77.0,61.13,4.0,30.12,6.21,2000.0
14585,48.2,93.45,2.0,30.27,4.35,1100.0
31458,64.4,82.62,4.0,30.21,6.21,2500.0
8206,66.2,72.74,6.0,30.12,6.21,2000.0
37301,55.4,81.99,5.0,30.21,6.21,3000.0
11476,66.2,88.18,3.0,30.12,3.73,1500.0
21271,57.2,93.69,3.0,30.21,4.35,3000.0
31048,68.0,42.85,7.0,30.24,6.21,4000.0
37319,71.6,37.89,4.0,30.12,6.21,3000.0
7230,68.0,59.97,7.0,30.21,6.21,3000.0
34242,68.0,77.75,5.0,30.0,4.97,1500.0
40607,75.2,57.12,7.0,29.85,6.21,4500.0
39021,64.4,93.88,2.0,30.0,4.97,1000.0
16823,60.8,77.14,7.0,30.18,6.21,3000.0
23333,60.8,87.92,6.0,30.24,3.73,900.0
5872,66.2,52.25,0.0,30.15,6.21,3000.0
27359,68.0,88.26,4.0,30.03,4.97,2000.0
2154,75.2,57.12,14.0,30.15,6.21,3000.0
12731,73.4,64.69,3.0,30.21,6.21,2500.0
27051,69.8,88.34,0.0,29.94,5.59,3000.0
17333,89.6,46.14,8.0,29.85,6.21,3000.0
3568,60.8,93.79,2.0,30.09,6.21,2000.0
687,71.6,100.0,2.0,30.12,6.21,1800.0
8006,69.8,82.98,11.0,29.94,6.21,2000.0
18537,75.2,88.59,3.0,30.0,6.21,3000.0
39841,73.4,56.88,5.0,30.12,6.21,3000.0
7758,77.0,61.13,3.0,30.09,6.21,2500.0
36955,62.6,82.5,3.0,30.18,3.73,1000.0
11546,62.6,93.83,0.0,30.15,2.49,1000.0
39366,75.2,46.98,3.0,30.0,6.21,3000.0
17865,78.8,83.55,3.0,29.979231072460635,6.21,3000.0
40290,77.0,47.25,5.0,29.94,6.21,3000.0
38333,64.4,72.56,16.0,30.18,6.21,1300.0
10936,82.4,51.21,3.0,29.97,6.21,3500.0
31028,66.2,45.6,3.0,30.27,6.21,3000.0
4624,75.2,35.94,5.0,30.12,6.21,3000.0
8963,66.2,93.92,0.0,29.94,4.97,1500.0
16795,62.6,93.83,0.0,30.09,6.21,1500.0
